snr_db,bler_classical,bler_neural,ber_classical,ber_neural
-5.0,1.0,1.0,0.4059914679276316,0.3610196511787281
-2.5,1.0,1.0,0.3518570963541667,0.2731066680372807
0.0,1.0,1.0,0.28032312225877193,0.1882763671875
2.5,1.0,1.0,0.19959986636513158,0.11652420847039474
5.0,1.0,1.0,0.12213336074561404,0.06172765899122807
7.5,1.0,1.0,0.061470411869517544,0.02799230742872807
10.0,1.0,0.9825,0.02637721011513158,0.014183970668859649
12.5,0.93828125,0.585,0.010379231770833334,0.009046823601973683
15.0,0.4596875,0.31375,0.004710029468201754,0.008045675712719299
17.5,0.22375,0.22484375,0.002343835663377193,0.007366964775219299
20.0,0.1271875,0.19703125,0.001230640076754386,0.007246350740131579
