snr_db,bler,ber
-5.0,1.0,0.4063774671052632
-2.5,1.0,0.3518081825657895
0.0,1.0,0.2802222108004386
2.5,1.0,0.1992588404605263
5.0,1.0,0.12219777960526315
7.5,1.0,0.06202842310855263
10.0,1.0,0.02632923862390351
12.5,0.935625,0.010520576343201754
15.0,0.4559375,0.0047349575109649124
17.5,0.228125,0.002514048793859649
20.0,0.12390625,0.0012414336622807018
